dataset,method,num_xp,CQR_FL_coverage,CQR_coverage,CQR_M_coverage,CQR_FL_length,CQR_length,CQR_M_length
community,RidgeCV,13,90.47619047619048,90.47619047619048,93.98496240601504,1.7871552257153562,1.7642122084665088,2.2721619657582197
community,RidgeCV,14,88.7218045112782,87.71929824561403,92.23057644110276,1.945246678640015,1.876486772812769,2.4651358991787578
community,RidgeCV,15,93.98496240601504,93.48370927318295,95.73934837092732,1.8529814837440848,1.794633067820346,2.2720642711486967
community,RidgeCV,16,94.23558897243107,93.734335839599,95.73934837092732,2.1608549336130345,2.0559560176275333,2.624588404918049
community,RidgeCV,17,93.23308270676691,92.73182957393483,95.23809523809523,2.169128651834821,1.955244967056963,2.6451935002475406
community,RidgeCV,18,91.72932330827066,92.73182957393483,95.23809523809523,1.8863528115769053,1.929339454801409,2.3247076910383555
community,RidgeCV,19,89.97493734335839,89.97493734335839,94.9874686716792,1.9389565463219403,1.9389565463219403,2.5813514288952115
star,RidgeCV,0,91.91685912240185,91.68591224018475,95.3810623556582,0.18208264609103364,0.18016995703799843,0.20089543616941652
star,RidgeCV,1,92.60969976905312,92.8406466512702,96.99769053117782,0.18100601180446096,0.18206783576746524,0.20319539843860923
star,RidgeCV,2,93.0715935334873,91.68591224018475,95.61200923787528,0.18566785301368105,0.17931738724526558,0.20494149371071796
star,RidgeCV,3,92.14780600461894,90.99307159353349,94.68822170900692,0.18279154144082943,0.17763983150790263,0.20093784181184968
star,RidgeCV,4,90.99307159353349,90.99307159353349,94.91916859122402,0.1815834360730744,0.1815834360730744,0.20289130191510676
star,RidgeCV,5,90.5311778290993,91.22401847575058,93.53348729792148,0.174541152180316,0.17932670361659445,0.193441596505052
star,RidgeCV,6,92.60969976905312,91.45496535796767,93.99538106235565,0.19140596446345,0.18082415281137962,0.1953235572641191
star,RidgeCV,7,91.45496535796767,91.45496535796767,95.61200923787528,0.1826033521995689,0.18193561993731944,0.21030782924614486
star,RidgeCV,8,88.91454965357968,89.14549653579677,92.14780600461894,0.17447190293932383,0.17609794327938832,0.19814771660105202
star,RidgeCV,9,86.14318706697459,87.52886836027713,91.91685912240185,0.167926301197296,0.17215770895813567,0.198845042973947
star,RidgeCV,10,90.99307159353349,92.60969976905312,96.53579676674366,0.18247145073607654,0.18614815966924314,0.20920611963825086
star,RidgeCV,11,89.14549653579677,89.60739030023095,92.14780600461894,0.17142950558457715,0.17220673742154968,0.18891561170837323
star,RidgeCV,12,87.99076212471132,87.75981524249423,93.30254041570439,0.17803467697167052,0.1777014789449176,0.20527392438559255
star,RidgeCV,13,90.99307159353349,90.30023094688222,94.91916859122402,0.18567819833380295,0.1822956935451021,0.20509013864705072
star,RidgeCV,14,92.60969976905312,91.68591224018475,94.22632794457274,0.19007884921093066,0.18238057190076962,0.20031425152441784
star,RidgeCV,15,89.37644341801386,89.14549653579677,93.53348729792148,0.1800468088623397,0.1779475358823022,0.20028854805366825
star,RidgeCV,16,91.91685912240185,91.22401847575058,94.91916859122402,0.18631622192000294,0.18145066806462798,0.20362637826285368
star,RidgeCV,17,87.06697459584296,87.06697459584296,92.8406466512702,0.17402802915936322,0.17546538477935192,0.195544763675214
star,RidgeCV,18,91.68591224018475,91.45496535796767,94.22632794457274,0.18014734841476088,0.17899385575730697,0.20206195727656562
star,RidgeCV,19,87.52886836027713,87.99076212471132,93.76443418013857,0.17450431711390113,0.1765183894098776,0.19979528804171007
bike,RidgeCV,0,85.43689320388349,86.89320388349515,96.60194174757282,2.22836583696973,2.346078571359578,3.164576795561306
bike,RidgeCV,1,90.29126213592234,91.2621359223301,93.68932038834951,2.077659648235585,2.2142310022013225,2.815696112176541
bike,RidgeCV,2,88.3495145631068,88.3495145631068,94.66019417475728,2.309839641123861,2.3168179903764674,3.211693989187971
bike,RidgeCV,3,91.74757281553399,91.74757281553399,95.14563106796116,2.319930814875149,2.2704876891017274,2.941398106749054
bike,RidgeCV,4,93.20388349514563,93.20388349514563,96.11650485436894,2.735094244372828,2.7250273647353134,3.552105351210623
bike,RidgeCV,5,95.63106796116504,95.14563106796116,97.0873786407767,2.9939990639470913,2.8894418428865976,3.7503615145620945
bike,RidgeCV,6,85.43689320388349,85.92233009708737,97.0873786407767,2.3814167723625665,2.409476099282596,3.245817807321257
bike,RidgeCV,7,93.20388349514563,93.20388349514563,95.63106796116504,2.7103652544763372,2.6464312898768307,3.401756057346575
bike,RidgeCV,8,94.1747572815534,94.1747572815534,95.63106796116504,2.638088301599411,2.5816858049198177,3.31216448797612
bike,RidgeCV,9,85.92233009708737,87.37864077669903,93.68932038834951,2.3619973939717616,2.4133389278035713,3.1168886031874368
bike,RidgeCV,10,93.20388349514563,93.20388349514563,97.57281553398059,2.586678179747022,2.5851682742600834,3.5166679227078563
bike,RidgeCV,11,90.77669902912622,91.74757281553399,96.60194174757282,2.1830257647263025,2.301820184907747,3.085561379622561
